Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,7.713333,7.713333,7.003334,7.226666,0.620235,8760000
1962-02-01,7.300000,7.480000,7.093333,7.160000,0.614514,5737600
1962-03-01,7.186666,7.413333,7.070000,7.103333,0.609733,5344000
1962-04-01,7.100000,7.100000,6.000000,6.053333,0.519604,12851200
1962-05-01,6.053333,6.530000,4.733333,5.233333,0.449217,49307200
1962-06-01,5.213333,5.213333,4.000000,4.523334,0.388333,68451200
1962-07-01,4.523334,5.246666,4.513333,5.160000,0.442992,41052800
1962-08-01,5.146667,5.530000,4.940000,5.283333,0.453580,41353600
1962-09-01,5.283333,5.353333,4.646667,4.713333,0.404725,33204800
1962-10-01,4.713333,4.956666,4.293334,4.613333,0.396138,42958400
1962-11-01,4.613333,5.356667,4.560000,5.313334,0.456245,36654400
1962-12-01,5.260000,5.413333,5.086667,5.200000,0.446608,21891200
1963-01-01,5.200000,5.660000,5.123333,5.650000,0.485257,28531200
1963-02-01,5.650000,5.665000,5.320000,5.330000,0.457772,13190400
1963-03-01,5.330000,5.643333,5.296667,5.613333,0.482222,12147200
1963-04-01,5.613333,6.326667,5.566667,6.183333,0.531188,18203200
1963-05-01,6.183333,6.380000,6.100000,6.363333,0.546652,11387200
1963-06-01,6.363333,6.383333,5.760000,5.816667,0.499799,12854400
1963-07-01,5.816667,5.973333,5.670000,5.793334,0.497793,16763200
1963-08-01,5.793334,6.126667,5.733333,5.930000,0.509536,13878400
1963-09-01,5.938334,6.253334,5.938334,6.026667,0.517961,18100800
1963-10-01,6.026667,6.690000,5.980000,6.586667,0.566090,24403200
1963-11-01,6.586667,6.610000,6.146667,6.470000,0.556063,12488000
1963-12-01,6.506667,6.793334,6.313334,6.760000,0.581136,13035200
1964-01-01,6.800000,7.560000,6.766667,7.226666,0.621254,22300800
1964-02-01,7.226666,7.686666,7.120000,7.586667,0.652202,11291200
1964-03-01,7.586667,7.926667,7.413333,7.923333,0.681301,11723200
1964-04-01,7.933333,8.020000,7.603333,7.603333,0.653786,12776000
1964-05-01,7.613333,8.233334,7.613333,8.000000,0.687894,10512000
1964-06-01,8.000000,8.058333,7.683333,7.950000,0.683769,8619200
1964-07-01,7.979167,8.200000,7.666667,7.700000,0.662266,9276800
1964-08-01,7.700000,7.700000,7.091667,7.341667,0.631446,11555200
1964-09-01,7.341667,7.433333,6.866667,7.275000,0.625882,11804800
1964-10-01,7.275000,7.275000,6.916667,7.000000,0.602224,7595200
1964-11-01,6.995833,7.241667,6.875000,6.875000,0.591470,8470400
1964-12-01,6.858333,6.966667,6.783333,6.825000,0.587342,8364800
1965-01-01,6.825000,7.500000,6.733333,7.475000,0.643280,11296000
1965-02-01,7.458333,7.618750,7.083333,7.595833,0.653679,7942400
1965-03-01,7.595833,7.825000,7.466667,7.570833,0.651746,7204800
1965-04-01,7.583333,8.083333,7.583333,8.083333,0.695866,6395200
1965-05-01,8.066667,8.191667,7.666667,7.966667,0.685822,5681600
1965-06-01,7.933333,7.958333,7.291667,7.633333,0.657331,14480000
1965-07-01,7.633333,7.983333,7.583333,7.983333,0.687471,7908800
1965-08-01,7.983333,8.397917,7.904167,8.316667,0.716175,9350400
1965-09-01,8.316667,8.620833,8.300000,8.541667,0.735782,7246400
1965-10-01,8.512500,8.883333,8.387500,8.883333,0.765214,7057600
1965-11-01,8.883333,9.233334,8.700000,8.750000,0.753728,4550400
1965-12-01,8.750000,8.795834,8.237500,8.316667,0.716602,12908800
1966-01-01,8.291667,8.558333,7.866667,8.266666,0.712293,12648000
1966-02-01,8.266666,8.745833,8.133333,8.583333,0.739580,8011200
1966-03-01,8.583333,8.750000,8.241667,8.600000,0.741237,9123200
1966-04-01,8.600000,9.366667,8.566667,9.291667,0.800852,7316800
1966-05-01,9.291667,9.350000,8.600000,9.068750,0.781639,10494400
1966-06-01,8.912500,9.162500,8.312500,8.762500,0.755469,13753600
1966-07-01,8.806250,9.037500,8.518750,8.518750,0.734454,6025600
1966-08-01,8.518750,8.768750,7.656250,8.012500,0.690806,10428800
1966-09-01,8.012500,8.462500,7.662500,7.937500,0.684560,10038400
1966-10-01,7.937500,8.371875,7.237500,8.300000,0.715824,11531200
1966-11-01,8.359375,9.425000,8.359375,9.400000,0.810691,10068800
1966-12-01,9.400000,9.650000,9.075000,9.287500,0.801245,6968000
1967-01-01,9.287500,10.150000,9.062500,9.987500,0.861635,10628800
1967-02-01,9.850000,10.881250,9.762500,10.750000,0.927417,6753600
1967-03-01,10.812500,11.525000,10.800000,11.275000,0.972977,7043200
1967-04-01,11.187500,12.475000,10.925000,12.412500,1.071138,8220800
1967-05-01,12.125000,12.125000,11.450000,11.656250,1.005877,8121600
1967-06-01,11.656250,12.775000,11.587500,12.437500,1.073533,9611200
